[2026-09-08 14:47:16] Pixsel__Eymen | olu gruptan nıye cıktın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:08:35] AvenKnot | arkadaş mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:15:12] kamran2 | nasıl yapayım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:16:56] kamran2 | nasıl yapayımm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:17:55] kamran2 | ne kadar vereyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:18:06] AvenKnot | aldın mı sen shulkerı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:22:49] AvenKnot | neden sence | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:27:47] kamran2 | neden yapıyonn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:28:51] sevo_16 | ya ben sana ne yaptım? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:41:01] Ramazan6414 | ne alıyor? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:42:03] mamilokkovol2 | verimlilik 3 ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:43:01] Ramazan6414 | eren verimlilik 3 80 k mı oha a | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:43:36] 06erenw06 | neden geliyim spawna | enyakin=spawn-warp puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 17:49:43] kamran2 | sabah kacda gireceksin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:53:43] 34KRAL2525 | demir kaç tane lazım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:54:01] 34KRAL2525 | kaç tane var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:54:15] 34KRAL2525 | ne kadar veriyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:54:17] 06erenw06 | çok var ne kadar isiton | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:54:21] 34KRAL2525 | kemik ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:55:21] 34KRAL2525 | ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:55:46] 06erenw06 | 1000 e 40 tane verim ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 17:58:04] mdoruk | nası base yapabilirmisin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:01:20] mdoruk | fazla varmı ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:01:46] apathyharbi | sorun nedir ben yardımcı olayım Y4SINEFF | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:02:15] Barlas93 | Kordinat nasıl olsun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:04:38] mamilokkovol2 | onu nasıl eve götürcem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:05:49] mdoruk | abi nasıl eltra aldı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:06:12] ShinyDart7444 | kral kaç veriyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:08:01] LakuWasTaken | armadildo neden ölmüyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:11:04] 34KRAL2525 | elitra nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:11:30] ShinyDart7444 | sen beni niye kesyin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:11:37] ShinyDart7444 | niye kestin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:12:55] ShinyDart7444 | niye aldin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:13:01] 34KRAL2525 | la ben almadim i̇yi̇ mi̇si̇n | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:20:17] 34KRAL2525 | fişek ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:20:18] maceswap | hangi sp | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:20:27] 34KRAL2525 | fişek ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:21:56] ShinyDart7444 | olm niye aldin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:22:18] 34KRAL2525 | para ne kadar demiştik | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:23:07] maceswap | ne kadar diyosun goleme | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:24:52] maceswap | parası ne kadar | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:25:15] ClowzV1 | Kac verirsin sole anlasalüm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:25:29] ShinyDart7444 | nasi cikicam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:27:16] Ruzgarin432 | only van abi afk mı | enyakin=kristal puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:27:24] yusuf | beyler kasıyor ne yapmalıyım | enyakin=oyuna-baslama puan=2 sebep=SINYAL_ZAYIF
[2026-09-17 18:28:10] maceswap | ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:28:19] maceswap | ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:28:43] ClowzV1 | kk ben nasil set fln alabilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:28:46] JakeMonkey5749 | olum niye tohum koyamıyom | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:28:49] Clawwolf | ne gibi dark? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:29:26] Ruzgarin432 | pvp acık mu | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:29:34] Clawwolf | ne gibi dark? ne yapayım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:30:54] Clawwolf | tmm arkadaş olalımmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:33:51] Ruzgarin432 | ayılar takımından biri beni tp leye bilir mi | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:37:00] Dlight | item var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:38:37] Dlight | yemek var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:39:52] egemen1559 | adın neydi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:40:25] egemen1559 | base bulduğumuz adın neydi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:40:30] egemen1559 | niçin neydi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:41:36] Ruzgarin432 | nasıl takım istegi atıyoruz | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:41:42] Clawwolf | berkayte bu zenginlik nerden geliyo | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:42:09] Clawwolf | berkayte bu zenginlik nerden geliyo | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:42:11] Clawwolf | berkayte bu zenginlik nerden geliyo?? | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:42:16] Clawwolf | berkayte bu zenginlik nerden geliyo?? | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 18:42:20] ugur | tm nasıl galiniyor? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:49:51] Dark | eren kaç zümrüt istiyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:51:32] Davelport | neden abi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:52:16] Davelport | neden abi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:52:46] Davelport | neden abi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:53:27] 06erenw06 | sen kaç istersin yada | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:54:08] Davelport | abiler neden beni öldürmek istiyorsunuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 18:55:35] JakeMonkey5749 | niye oldurdun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:00:37] Ruzgarin432 | sen bana mı dedin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:00:58] topalcoo | ne kadar var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:01:01] 06erenw06 | kırılmazlık 3 verimlilik 3 e ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:01:05] Clawwolf | benden şey istemiştin neydi o | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:04:31] Davelport | abi base yapalım mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:05:08] Davelport | neden abi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:07:09] Davelport | bu kim abi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:10:54] Clawwolf | sağol OverLord bide şey ummm arkadaş olalımmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:11:37] neksteysinmamut | parayı nasıl kasiyonuz | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:12:34] Davelport | nereye base yapcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:13:01] Davelport | nereye base yapak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:13:02] Davelport | nereye base yapak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:13:11] Davelport | nereye base yapak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:13:13] Davelport | nereye base yapak. | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:13:14] Davelport | nereye base yapak. | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:17:40] ugur | evet takımıza gel istersen? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:18:31] Clawlion | mace abi ada ne? | enyakin=gokyuzu-etkinlik puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:19:36] Davelport | xray mı var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:21:45] Davelport | buraya base yapak mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:23:59] Clawwolf | trap değil dimi setli gelmedim? | enyakin=site-paket puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:24:32] Davelport | neden mute yiyeyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:24:35] Clawwolf | ne arıyonuz? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:26:45] ugur | olum niye gitin? | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:30:05] Dlight | alşım mı onları | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:33:26] Clawwolf | joke öldünmü? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:34:47] Ramazan6414 | madenren gelen puanı neden duşürdüler | enyakin=seviye puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:40:32] sevo_16 | kırık taş vr mı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:44:10] apathyharbi | sorun nedir | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:45:45] Dlight | yardım etcen mi rehber | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:47:31] egemen1559 | bu neti söke söke ver yoksa ben mi alim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:50:35] apathyharbi | aa neden egemen1559 | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:51:33] Doruk02 | kağıdı olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:51:48] kavunadam2 | taki̇mi̇na ali̇cak varmi̇ ben farm yaapri̇m | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:52:12] TriggerDarex | medya olunuyo mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 19:52:22] Clawwolf | afk iken kesmeye çalısam kim | enyakin=kristal puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:52:37] TriggerDarex | medya rankı var mı | enyakin=vip-rutbe puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 19:53:07] ugur | beyler ağır cekirdek elde edelimmi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:02:35] JakeMonkey5749 | lan benim eşyalar nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:02:37] Ramazan6414 | kafamdan neden partikül duşuyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:03:34] Dlight | rehber ben esya nasıl alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:04:00] Clawwolf | nereye ugur | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:05:44] Ramazan6414 | kafamda neden partikul var a | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:06:53] Dlight | nasi bi̇sey alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:07:35] imrush | ark olcak varmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:08:38] Clawwolf | ugur nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:09:20] imrush | beni daha demin kim kesti la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:12:48] Clawwolf | görüyoz kim ezik :D | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:13:37] Ramazan6414 | pvp geliştirek mi | enyakin=savas-etiketi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:14:29] Ramazan6414 | netherite mi | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:14:33] Ramazan6414 | kaç tane | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:15:29] Ramazan6414 | 2 tane mi lazım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:16:49] Ramazan6414 | basenyapak mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:20:33] egemen1559 | base gel kim kimden yerse | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:21:09] sevo_16 | item verebilecek var mı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:25:01] Barlas93 | nasıl olmuş | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:27:08] imrush | doruk o nasıl hafıza | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:30:23] 06erenw06 | knk senbana 1 stack kitap ver ben sana 2 verimlilik 3 veriyim 1 tane krılmazlık veriyim ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:32:50] 06erenw06 | 1 tabe net e kaç kitap verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:33:29] 06erenw06 | 1 külce artı büyü veriyim 45 tane ver ? | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:34:49] JakeMonkey5749 | ne zaman gelirsiniz | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:35:02] JakeMonkey5749 | ne zaman oynarsiniz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:36:47] Barlas93 | izle nasıl gbak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:38:09] Barlas93 | başka kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:41:46] Clawwolf | reis baskın var her yere baktık yoklar nası bulcaz | enyakin=claim-koruma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:43:52] alibaba6376 | ben çektim bir buçuk dakika oldu olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:46:51] Clawwolf | Hee ne oldu CLawwolf? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:50:53] mamilokkovol2 | taks mı yapcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 20:52:10] mamilokkovol2 | bi kaç sitek daha kazarsam ne veririsin | enyakin=site-kredi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:52:23] mamilokkovol2 | bi kaç sitek daha kazarsam ne veririsin ? | enyakin=site-kredi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:53:01] mamilokkovol2 | örs lazım yaparmısın 3 siteğe? | enyakin=site-kredi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 20:53:22] 06erenw06 | örs mu lazım sana | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:00:59] Clawwolf | versen olurmu? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:02:26] lonewolf | sana 20k atacam ama benim yuksetmemı al tamam mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:07:05] Clawwolf | ben snaa güvenebilirmiyim? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:08:39] Clawwolf | sen kızmısın? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:08:48] Clawwolf | bende erkek yaş kaç | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:11:02] dlocan | [event cancelled]arkadaşlar herkese nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:11:24] dlocan | arkadaşlar herkese nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:11:52] dlocan | [event cancelled]arkadaślar herkes nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:14:19] dlocan | [event cancelled]arkadaşlar herkes nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:15:04] dlocan | [event cancelled]herkes nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:16:05] lonewolf | hatta burası senın olur ne dersın? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:16:23] mamilokkovol2 | bura nasıl alcam üstüme lonewolf | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:20:12] Clawwolf | iyi sen? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:21:06] dijitaltotofan | örs mü yapcanü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:25:31] Clawwolf | arkadaş olakmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:26:29] Barlas93 | o nasıl olduğunu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:27:45] Clawwolf | tp trap gibi hissettim imrush base dedin..? | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 21:32:38] dijitaltotofan | o shulker oyununu ben başlattım bani mi dalondırıyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:34:29] Skyler | istersen al abk kim dolantırıcıı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:37:52] Clawwolf | nası satcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:39:03] dijitaltotofan | skayler ucuz dediyin 30k mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:41:45] Clawwolf | kaç zümrüte | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:43:31] mesh | madenden hızlı çıkmanın bir yolu var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:44:44] Barlas93 | la nasıl yaptın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:45:27] Barlas93 | nasıl çöktü aq | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:45:45] Barlas93 | neden ısırdım nmı ısırrrrr | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:45:56] mdoruk | sen mi bii yaptın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:47:56] mdoruk | niye yeşil | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:52:24] umo | 90 k paran var nasi çok deil mk | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 21:53:43] mdoruk | neden oluo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 21:57:23] mdoruk | hangi takımlısın | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 22:02:53] umo | abi senin niye dönün yok | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:03:15] umo | biftek nerdeeee | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:07:33] egemen1559 | knk bu devirde kim kime elitra vercek | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:08:20] mesh | nasıl sunucu sarıyor mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:08:35] mesh | evn fılan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:08:54] yesirim | bu smp mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:09:15] yesirim | base yer altına mı yapuıyonuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:09:56] Clawwolf | ne gibi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:17:24] Sulex | nereye gidioz knk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:19:22] lonewolf | örümcek ağa varmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:21:26] Dlight | yemeklazım mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:22:30] Dlight | 10 biftege kac verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:23:42] yesirim | cpvp mi bu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:26:48] Ruzgarin432 | dli̇ght afk mi | enyakin=kristal puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 22:27:57] Ruzgarin432 | dli̇ght yasiyo mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:28:42] Clawwolf | setin nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:30:18] Dlight | var mı sende | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:30:51] Dlight | yeni baslayan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:31:07] Clawwolf | ahmet kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:32:34] Ruzgarin432 | aga noldu bisey mi soyledin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:36:06] Knowsunuz1 | bunu nasıl acıcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:36:07] PrimusLY | bi youtuber vardı onu komut olarak girince anahtar veriyordu neydi | enyakin=menu puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 22:36:30] Ruzgarin432 | telefon mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:36:49] Ruzgarin432 | telefon numarası mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:37:36] Knowsunuz1 | aa koruma mı var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:37:56] Ruzgarin432 | savaş nıye baslamıyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:40:18] FATIH_POLAT_187 | nasıl ses konuśuyoz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:42:28] PrimusLY | o komuttaki anahtar sadece elmas seti mi çıkarıyor | enyakin=menu puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 22:42:36] Dlight | msg var mı bu oyunda | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:46:25] Clawwolf | para nası kascam zeus | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 22:46:34] Clawwolf | para nası kasarım | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 22:48:16] Dlight | set nasıl alıcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:48:49] Ruzgarin432 | rehber başka nasıl alcas yolu varmı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:49:21] pekercan123 | küfür etmesene dostum? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:51:17] Dlight | yas kac ruzgar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:53:47] RiftAnarsi | hocam 2 zombi kestim 2 inek yumurtası çapa ve 1 stek buğday tohumu çıktı normal mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:56:03] Clawwolf | apathyharbiarkadaş olakmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:57:59] Clawwolf | rehber neden etrafda base yok | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 22:59:43] Ruzgarin432 | ??????????????????????****** | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:01:30] Dlight | nası alıcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:02:40] Dlight | olur mu rehber | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:04:09] Dlight | kolay cıkıyo mu netheriteler | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 23:04:27] Dlight | ben niye set alamıyom | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:04:54] 06erenw06 | de ki en iyi nethirte hurdası kaçta cıkar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:07:47] yesirim | büyülü elma ne kadar | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 23:08:20] apathyharbi | sorun nedir tam olarak? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:09:01] Clawwolf | nie kimse büyülerimi almıyo? | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 23:09:46] Dlight | netherite setin var mı | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-17 23:14:28] Dlight | nası vercem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:18:04] ItzRealMusty | servet satan? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:18:56] yesirim | 4 demir mi sence | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:19:30] yesirim | emir mi veriyon bana | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:22:29] Clawwolf | kim dövdü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:22:55] Knowsunuz1 | hayırdı emir mi verion bakam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:27:50] Dlight | elmas seti olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:30:54] Dlight | elmas seti yedekte olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:31:43] Dlight | geliyim mi yanına | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-17 23:32:49] Dlight | yedek elmas setin var mı | enyakin=- puan=0 sebep=ESLESME_YOK
